"STDR_DE","EMD_ID","CNT","CNT_00H","CNT_01H","CNT_02H","CNT_03H","CNT_04H","CNT_05H","CNT_06H","CNT_07H","CNT_08H","CNT_09H","CNT_10H","CNT_11H","CNT_12H","CNT_13H","CNT_14H","CNT_15H","CNT_16H","CNT_17H","CNT_18H","CNT_19H","CNT_20H","CNT_21H","CNT_22H","CNT_23H"
"20240515","1101055","6835","13","0","0","0","11","90","134","224","329","463","486","606","803","637","550","458","436","383","347","259","234","175","123","74"
"20240515","1101056","7791","11","0","0","0","18","83","132","200","309","494","577","674","1005","910","651","603","497","403","356","259","214","217","131","47"
"20240515","1101058","5830","46","8","2","5","14","68","101","159","220","319","358","360","460","446","436","413","392","397","351","314","347","269","244","101"
"20240515","1101060","1685","0","0","0","0","0","1","31","41","76","111","169","122","143","220","159","128","131","112","71","65","43","28","26","8"
"20240515","1101068","144","0","0","0","0","0","0","2","5","7","8","15","18","18","10","15","13","6","3","8","9","2","1","3","1"
"20240515","1113072","7401","45","2","0","0","53","155","223","253","462","523","549","542","500","488","466","444","459","446","444","348","323","327","228","121"
"20240515","1113073","20934","82","9","5","5","41","334","454","671","1022","1299","1470","1623","1613","1585","1500","1405","1515","1406","1303","950","840","859","669","274"
"20240515","1113076","23000","111","8","1","2","50","323","381","543","845","1301","1537","1706","1774","1884","1827","1812","1649","1514","1477","1148","998","1028","714","367"
"20240515","1114059","10475","10","6","3","2","7","124","204","295","450","624","731","894","896","801","704","568","708","631","604","590","566","603","337","117"
"20240515","1114060","29054","147","28","23","12","53","371","496","612","1055","1543","1617","1962","2200","2240","2095","2014","2053","2111","1788","1549","1576","1544","1425","540"
"20240515","1114061","2618","13","4","5","8","10","25","38","50","84","145","170","199","216","222","181","154","166","171","177","148","140","156","97","39"
"20240515","1114063","1442","7","0","0","0","0","8","23","38","78","108","131","136","116","103","113","100","119","95","86","53","43","41","30","14"
"20240515","1123077","39703","112","0","0","0","81","389","523","494","758","1194","1298","1769","2169","2540","2796","3099","3359","3406","3221","3045","4028","2841","1871","710"
"20240515","1123078","10744","72","16","9","7","66","127","206","271","369","619","608","681","777","757","714","700","812","660","670","708","653","601","469","172"
"20240515","1123079","53245","127","21","9","5","16","275","591","678","843","1367","1655","2181","3086","3626","4115","4551","5057","4938","4557","3883","4195","3945","2988","536"
"20240515","1124056","4697","16","0","0","0","51","125","157","191","299","364","434","380","391","350","299","280","287","223","226","184","154","128","107","51"
"20240515","1124058","9657","68","20","23","13","26","124","174","226","433","561","577","620","613","662","567","576","599","628","663","541","575","614","529","225"
"20240515","1124059","12427","28","0","0","0","7","145","327","353","587","812","983","1040","1166","1144","976","839","837","842","655","395","421","448","310","112"
"20240515","1101069","3109","2","0","0","0","8","72","85","140","223","297","252","296","285","244","179","195","160","168","131","113","96","82","48","33"
"20240515","1101070","5001","57","30","30","16","35","87","79","86","143","228","257","376","417","464","369","307","285","333","283","275","238","258","212","136"
"20240515","1101072","6799","1","0","0","0","1","29","63","96","203","329","372","547","699","676","729","580","667","613","441","297","183","179","75","19"
"20240515","1102057","19151","49","11","16","8","30","198","230","316","594","910","1133","1271","1354","1405","1372","1317","1607","1396","1220","1101","1162","1061","875","515"
"20240515","1102058","10291","15","3","3","0","5","93","114","165","272","408","567","738","750","802","768","629","698","819","873","611","800","586","432","140"
"20240515","1102059","40722","261","225","144","147","340","979","460","558","841","1354","1615","2008","2483","2952","3251","3479","3563","3495","3248","2645","2283","1964","1616","811"
"20240515","1114066","169845","1008","295","166","142","532","3050","2378","2243","3220","4578","5344","6516","8279","9564","10874","12333","13215","13801","13177","13346","13849","14296","11771","5868"
"20240515","1114069","4807","20","5","5","0","10","42","87","123","175","281","318","329","412","470","415","391","345","374","266","264","175","149","107","44"
"20240515","1114070","3360","15","4","1","4","11","48","69","92","186","233","245","238","293","233","250","200","227","226","194","188","137","129","92","45"
"20240515","1114072","5154","9","3","5","3","19","87","100","163","267","331","368","404","441","415","340","382","304","298","367","242","220","198","127","61"
"20240515","1114074","24387","102","15","8","30","45","436","629","940","1372","1734","1800","1785","1775","1622","1532","1525","1645","1740","1319","1121","1087","956","726","443"
"20240515","1114075","4893","28","10","0","1","2","38","59","105","158","261","320","355","337","297","356","295","374","359","294","297","315","282","213","137"
"20240515","1124060","11861","28","3","3","2","41","246","375","507","732","1035","1032","1051","932","876","783","692","785","676","594","371","389","342","261","105"
"20240515","1124061","13162","54","5","11","5","41","188","249","362","628","882","907","931","1012","1036","989","806","888","816","709","597","616","661","511","258"
"20240515","1124063","18825","84","20","2","4","30","264","427","491","899","1207","1195","1257","1422","1433","1417","1252","1295","1188","1081","977","916","899","729","336"
"20240515","1124064","4944","29","0","0","0","12","80","144","154","293","394","356","389","406","325","335","298","305","298","222","256","238","152","169","89"
"20240515","1124065","6191","52","16","10","14","92","145","197","215","249","383","381","437","418","418","397","348","366","398","345","315","296","336","229","134"
"20240515","1124068","2755","20","13","0","0","15","27","76","87","119","178","187","191","171","187","181","178","171","190","199","141","131","120","111","62"
